TAG	VALOR_TAG
role	Setores de Tesouraria e Faturação e Controlo de Senhas dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	115
date	Setembro/2013
title	Guardo mais as amizades do que as medalhas e as vit�rias
topic	Desporto
interviewee	André Moreir
role	Licenciado em Engenharia Electrónic
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	115
date	Setembro/2013
title	Desporto da UMinho e OVS aproveitam sinergias
topic	Desporto
interviewee	Open Village Sports Hotel & SPA Club
role	Open Village Sports Hotel & SPA Club
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	115
date	Setembro/2013
title	Penso que globalmente, e pelo que se alcan�ou at� ao momento, trata-se de um posto relevante.
topic	Academia
interviewee	António Paisan
role	Provedor do estudante da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	115
date	Setembro/2013
title	Sara Reis da Silva - Diretora da Curso
topic	Academia
interviewee	Sara Reis da Silva
role	Diretora da Licenciatura em Educação Bás
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	116
date	Outubro/2013
title	Movimento “Menos olhos do que barrig
topic	Acção Soci
interviewee	Eng. Celeste Pereira
role	Diretora do Departamento Alimentar
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	116
date	Outubro/2013
title	Trabalho todos os dias com o objetivo de chegar o mais longe poss�vel
topic	Desporto
interviewee	Hugo Rosári
role	aluno de Economia da UMinho
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	116
date	Outubro/2013
title	Sou uma pessoa que vive o dia-a-dia e tento dar o meu melhor constantemente
topic	Desporto
interviewee	José Soare
role	licenciado em Engenharia Biomédica pela UMinho e ex-atleta internacional de Hóquei Pati
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	116
date	Outubro/2013
title	Penso que globalmente, e pelo que se alcan�ou at� ao momento, trata-se de um posto relevante.
topic	Cultura
interviewee	Gabriela Macedo
role	Presidente do Conselho Cultural da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	116
date	Outubro/2013
title	Muitos s�o chamados, poucos verdadeiramente escolhidos
topic	Cultura
interviewee	Augustuna – Tuna Mista da Universidade do Min
role	Augustuna – Tuna Mista da Universidade do Min
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	117
date	Novembro/2013
title	Os estudantes podem sempre contar com a fam�lia dos SASUM como sua fam�lia na UMinho, acolhendo-os, apoiando-os e acompanhando-os no seu percurso acad�mico
topic	Academia
interviewee	Ana Paula Machado
role	Setor de Bolsas de Estudo dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	117
date	Novembro/2013
title	Sem d�vida que o antigo aluno � o melhor embaixador da UM
topic	Academia
interviewee	Francisco Torres
role	Presidente da AAEUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	117
date	Novembro/2013
title	GEOJUSTIÇA - Soluções Geográficas de Apoio à Ju
topic	Academia
interviewee	fundadores da GEOJUSTIÇ
role	GEOJUSTIÇ
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	118
date	Dezembro/2013
title	...o grau de empregabilidade � elevad�ssimo, praticamente 100%
topic	Acção Soci
interviewee	Sérgio Lope
role	Diretor do Mestrado Integrado em Engenharia Eletrónica Industrial e Computadore
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	118
date	Dezembro/2013
title	SilicoLife - Computational Biology Solutions for the Life Sciences
topic	Academia
interviewee	fundadores da SilicoLife
role	SilicoLife
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	119
date	Janeiro/2014
title	A atividade permanente dos servi�os e a sua dimens�o exigem a operacionalidade a 100% da infraestrutura tecnol�gica dos SASUM...
topic	Acção Soci
interviewee	Setor de Informática dos SASU
role	Setor de Informática dos SASU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	119
date	Janeiro/2014
title	Estou a trabalhar com a ambi��o de ser Manager da equipa de engenheiros
topic	Sucesso Desportivo
interviewee	Eduardo Rodrigues
role	licenciado em Engª de Gestão Industri
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	119
date	Janeiro/2014
title	Carlos Alberto Videira, Presidente da AAUM
topic	Academia AAUM
interviewee	Carlos Alberto Videira
role	Presidente da AAUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	119
date	Janeiro/2014
title	Ana Maria Brandão - Diretora de Curs
topic	Academia
interviewee	Ana Maria Brandã
role	Diretora da Licenciatura em Sociologia
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	119
date	Janeiro/2014
title	Ecoticket
topic	Spin-Off
interviewee	fundador da Ecoticket
role	Ecoticket
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	119
date	Janeiro/2014
title	Tun’ao Minho, uma tuna mais tradicionalis
topic	Cultura
interviewee	Tuna Académica Feminina da Universidade do Minh
role	Tuna Académica Feminina da Universidade do Minh
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	119
date	Janeiro/2014
title	� preciso haver paix�o pelo desporto
topic	Sucesso Desportivo
interviewee	Júlio Ferreir
role	aluno de Arquitetura da UMinho
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	120
date	Fevereiro/2014
title	O impacto do primeiro contacto no atendimento dos utentes � vital para a imagem dos Servi�os
topic	Acção Soci
interviewee	Setor de Secretariado do Departamento de Apoio Social dos SASUM
role	Setor de Secretariado do Departamento de Apoio
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	120
date	Fevereiro/2014
title	Tentei escolher a melhor universidade para o curso que sempre quis
topic	Sucesso Desportivo
interviewee	Diogo Figueiredo
role	futuro engenheiro mecânic
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	120
date	Fevereiro/2014
title	Vivemos uma era de competitividade extrema, com cada vez mais indiv�duos especializados, pelo que para ter sucesso h� que ser agressivo e mais esfor�ado do que nunca.
topic	Sucesso Desportivo
interviewee	Nuno Moura
role	Digital Brand Manager da Nike Football
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMdicas
issue	120
date	Fevereiro/2014
title	António M. Cunha, Reitor da UMinho “Apesar das dificuldades do momento atual, a UMinho deve apostar, de forma clara, no seu cresciment
topic	Academia
interviewee	António M. Cunh
role	Reitor da UMinho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	120
date	Fevereiro/2014
title	Emprego garantido, em Portugal e no estrangeiro!
topic	Academia
interviewee	Luís Paulo Rei
role	diretor do Mestrado Integrado em Engenharia e Gestão de Sistemas de Informaç
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	120
date	Fevereiro/2014
title	BETWEIEN, Challenge and Success
topic	Spin-off
interviewee	fundador da BETWEIEN
role	BETWEIEN
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	120
date	Fevereiro/2014
title	Grupo Folclórico da UMinh
topic	Cultura
interviewee	Grupo Folclórico da UMinh
role	Grupo Folclórico da UMinh
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMDicas
issue	121
date	Março/201
title	O DDC est� forte. Somos reconhecidos, tanto a n�vel nacional como internacional, como um exemplo a seguir em termos de boas pr�ticas.
topic	Desporto
interviewee	Gabriel Oliveira
role	Sector de Gestão Técnica e Desportiva do D
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	121
date	Março/201
title	Rui Reis, Vice-reitor da UMinho
topic	Academia
interviewee	Rui Reis
role	Vice-reitor para a investigação da Universidade do Min
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	121
date	Março/201
title	Castro, Pinto & Costa – Qualidade e Inova�
topic	Spin-off
interviewee	um dos fundadores da Castro, Pinto & Costa, Lda
role	Castro, Pinto & Costa, Lda
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	122
date	Maio/2014
title	� gratificante saber que, todos os dias, a equipa do SFM, d� o seu contributo para o conforto daqueles que utilizam as nossas instala��es.
topic	Academia SMF
interviewee	equipa do Sector de Fiscalização e Manutenção dos S
role	Sector de Fiscalização e Manutenção dos S
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	122
date	Maio/2014
title	Ano ap�s ano, batalha ap�s batalha, o objetivo � sempre o da supera��o
topic	Desporto
interviewee	Hugo Sousa
role	Vice-presidente do Departamento Desportivo da AAUM
interviewer	Nuno Gonçalve
university	Universidade do Minho
journal	UMDicas
issue	122
date	Maio/2014
title	Filipe Vaz, Pró-reitor da Uminh
topic	Academia
interviewee	Filipe Vaz
role	Pró-reitor da UMinh
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	122
date	Maio/2014
title	"Os alunos de MIEMAT podem esperar um vasto mercado de trabalho"""
topic	Academia
interviewee	Carla Martins
role	diretora do Curso Mestrado Integrado em Engenharia de Materiais
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	122
date	Maio/2014
title	DISPLR, exploração criativa dos ecrãs públ
topic	Spin-Off
interviewee	fundadores da DISPLR
role	DISPLR
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	123
date	Junho/2014
title	&as novidades v�o acontecendo � medida que h� necessidade de novos reportes de informa��o. Vamo-nos moldando �s necessidades.
topic	Academia
interviewee	Filipa Oliveira
role	Líder do Sector de Contabilidade e Gestão de Stocks dos SAS
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	123
date	Junho/2014
title	& queremos apoiar os nossos estudantes a adotar uma perspetiva do exerc�cio profissional de Psicologia em novos contextos&
topic	Academia
interviewee	Carla Martins
role	Diretora de curso do Mestrado Integrado em Psicologia
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	123
date	Junho/2014
title	ESI - Engenharia, Soluções e Inova�
topic	Spin-Off
interviewee	fundadores da ESI
role	ESI
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	124
date	Agosto/2014
title	UMinho recebe Mundial Universitário de Andebol de 3 a 10 de agost
topic	Desporto
interviewee	Carlos Videira
role	Presidente do Comité Organizado
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	124
date	Agosto/2014
title	UMinho recebe Mundial Universitário de Andebol de 3 a 10 de agost
topic	Desporto
interviewee	Fernando Parente
role	Secretário-geral do Event
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	124
date	Agosto/2014
title	UMinho recebe Mundial Universitário de Andebol de 3 a 10 de agost
topic	Desporto
interviewee	Pedro Sanches
role	Representante da FADU
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	124
date	Agosto/2014
title	UMinho recebe Mundial Universitário de Andebol de 3 a 10 de agost
topic	Desporto
interviewee	Augusto Silva
role	Federação Portuguesa de Andebol Representante da F
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	124
date	Agosto/2014
title	UMinho recebe Mundial Universitário de Andebol de 3 a 10 de agost
topic	Desporto
interviewee	Aníbal Roch
role	Câmara Municipal de Guimarã
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	124
date	Agosto/2014
title	UMinho recebe Mundial Universitário de Andebol de 3 a 10 de agost
topic	Desporto
interviewee	João Gandal
role	Vice-presidente para a Aceditaç�
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	124
date	Agosto/2014
title	UMinho recebe Mundial Universitário de Andebol de 3 a 10 de agost
topic	Desporto
interviewee	Zizina Cristino
role	Vice-presidente para o Voluntariado
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	125
date	Outubro/2014
title	...a cultura de excel�ncia que se vive na, e pela organiza��o, � o aspeto mais relevante nos dias de hoje.
topic	Academia
interviewee	Carlos Silva
role	Administrador dos SASUM
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	126
date	Novembro/2014
title	Filomena Costa, a enfermeira candidata aos jogos olímpico
topic	Desporto
interviewee	Filomena Costa
role	enfermeira candidata aos jogos olímpico
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	126
date	Novembro/2014
title	Entrevista com Ricardo Rio Presidente da Câmara Municipal de Brag
topic	Acção Soci
interviewee	Ricardo Rio
role	Presidente da Câmara Municipal de Brag
interviewer	Ana Marques
university	Universidade do Minho
journal	UMDicas
issue	127
date	Janeiro/2015
title	Equipa que lidera os SASUM
topic	Acção Soci
interviewee	Carlos Silva, Fernando Parente, Susana Silva, Celeste Pereira, Isabel Rêg
role	Administrador, Diretor do Departamento Desportivo e Cultural, Diretora do Departamento Financeiro, Diretora do Departamento Alimentar, Diretora do Departamento Apoio Social
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	128
date	Fevereiro/2015
title	Sou otimista porque antecipo grandes oportunidades para a Universidade enquanto institui��o de conhecimento.
topic	Academia
interviewee	Prof. Dr. António M. Cunh
role	Reitor da Universidade do Minho
interviewer	Ana Marques
university	Universidade do Minho
journal	UMdicas
issue	128
date	Fevereiro/2015
title	Para mim fazer parte desta Instituição e deste sector é gratifican
topic	Academia
interviewee	Celina Machado
role	responsável pelo Setor de Orçamento e Conta dos SAS
interviewer	Ana Marques
